"bias_type","delta_00","num_studies","sigma2u","sigma2v","psss","o"
"pb_no_orb_mod",0,15,0.01,0.01,"small",3
"pb_no_orb_mod",0.2,15,0.01,0.01,"small",3
"pb_no_orb_mod",0.5,15,0.01,0.01,"small",3
"pb_no_orb_mod",0.8,15,0.01,0.01,"small",3
"pb_no_orb_mod",0,15,0.06,0.01,"small",3
"pb_no_orb_mod",0.2,15,0.06,0.01,"small",3
"pb_no_orb_mod",0.5,15,0.06,0.01,"small",3
"pb_no_orb_mod",0.8,15,0.06,0.01,"small",3
"pb_no_orb_mod",0,15,0.11,0.01,"small",3
"pb_no_orb_mod",0.2,15,0.11,0.01,"small",3
"pb_no_orb_mod",0.5,15,0.11,0.01,"small",3
"pb_no_orb_mod",0.8,15,0.11,0.01,"small",3
"pb_no_orb_mod",0,15,0.01,0.06,"small",3
"pb_no_orb_mod",0.2,15,0.01,0.06,"small",3
"pb_no_orb_mod",0.5,15,0.01,0.06,"small",3
"pb_no_orb_mod",0.8,15,0.01,0.06,"small",3
"pb_no_orb_mod",0,15,0.06,0.06,"small",3
"pb_no_orb_mod",0.2,15,0.06,0.06,"small",3
"pb_no_orb_mod",0.5,15,0.06,0.06,"small",3
"pb_no_orb_mod",0.8,15,0.06,0.06,"small",3
"pb_no_orb_mod",0,15,0.11,0.06,"small",3
"pb_no_orb_mod",0.2,15,0.11,0.06,"small",3
"pb_no_orb_mod",0.5,15,0.11,0.06,"small",3
"pb_no_orb_mod",0.8,15,0.11,0.06,"small",3
"pb_no_orb_mod",0,15,0.01,0.11,"small",3
"pb_no_orb_mod",0.2,15,0.01,0.11,"small",3
"pb_no_orb_mod",0.5,15,0.01,0.11,"small",3
"pb_no_orb_mod",0.8,15,0.01,0.11,"small",3
"pb_no_orb_mod",0,15,0.06,0.11,"small",3
"pb_no_orb_mod",0.2,15,0.06,0.11,"small",3
"pb_no_orb_mod",0.5,15,0.06,0.11,"small",3
"pb_no_orb_mod",0.8,15,0.06,0.11,"small",3
"pb_no_orb_mod",0,15,0.11,0.11,"small",3
"pb_no_orb_mod",0.2,15,0.11,0.11,"small",3
"pb_no_orb_mod",0.5,15,0.11,0.11,"small",3
"pb_no_orb_mod",0.8,15,0.11,0.11,"small",3
"pb_no_orb_mod",0,15,0.01,0.01,"medium",3
"pb_no_orb_mod",0.2,15,0.01,0.01,"medium",3
"pb_no_orb_mod",0.5,15,0.01,0.01,"medium",3
"pb_no_orb_mod",0.8,15,0.01,0.01,"medium",3
"pb_no_orb_mod",0,15,0.06,0.01,"medium",3
"pb_no_orb_mod",0.2,15,0.06,0.01,"medium",3
"pb_no_orb_mod",0.5,15,0.06,0.01,"medium",3
"pb_no_orb_mod",0.8,15,0.06,0.01,"medium",3
"pb_no_orb_mod",0,15,0.11,0.01,"medium",3
"pb_no_orb_mod",0.2,15,0.11,0.01,"medium",3
"pb_no_orb_mod",0.5,15,0.11,0.01,"medium",3
"pb_no_orb_mod",0.8,15,0.11,0.01,"medium",3
"pb_no_orb_mod",0,15,0.01,0.06,"medium",3
"pb_no_orb_mod",0.2,15,0.01,0.06,"medium",3
"pb_no_orb_mod",0.5,15,0.01,0.06,"medium",3
"pb_no_orb_mod",0.8,15,0.01,0.06,"medium",3
"pb_no_orb_mod",0,15,0.06,0.06,"medium",3
"pb_no_orb_mod",0.2,15,0.06,0.06,"medium",3
"pb_no_orb_mod",0.5,15,0.06,0.06,"medium",3
"pb_no_orb_mod",0.8,15,0.06,0.06,"medium",3
"pb_no_orb_mod",0,15,0.11,0.06,"medium",3
"pb_no_orb_mod",0.2,15,0.11,0.06,"medium",3
"pb_no_orb_mod",0.5,15,0.11,0.06,"medium",3
"pb_no_orb_mod",0.8,15,0.11,0.06,"medium",3
"pb_no_orb_mod",0,15,0.01,0.11,"medium",3
"pb_no_orb_mod",0.2,15,0.01,0.11,"medium",3
"pb_no_orb_mod",0.5,15,0.01,0.11,"medium",3
"pb_no_orb_mod",0.8,15,0.01,0.11,"medium",3
"pb_no_orb_mod",0,15,0.06,0.11,"medium",3
"pb_no_orb_mod",0.2,15,0.06,0.11,"medium",3
"pb_no_orb_mod",0.5,15,0.06,0.11,"medium",3
"pb_no_orb_mod",0.8,15,0.06,0.11,"medium",3
"pb_no_orb_mod",0,15,0.11,0.11,"medium",3
"pb_no_orb_mod",0.2,15,0.11,0.11,"medium",3
"pb_no_orb_mod",0.5,15,0.11,0.11,"medium",3
"pb_no_orb_mod",0.8,15,0.11,0.11,"medium",3
"pb_no_orb_mod",0,15,0.01,0.01,"large",3
"pb_no_orb_mod",0.2,15,0.01,0.01,"large",3
"pb_no_orb_mod",0.5,15,0.01,0.01,"large",3
"pb_no_orb_mod",0.8,15,0.01,0.01,"large",3
"pb_no_orb_mod",0,15,0.06,0.01,"large",3
"pb_no_orb_mod",0.2,15,0.06,0.01,"large",3
"pb_no_orb_mod",0.5,15,0.06,0.01,"large",3
"pb_no_orb_mod",0.8,15,0.06,0.01,"large",3
"pb_no_orb_mod",0,15,0.11,0.01,"large",3
"pb_no_orb_mod",0.2,15,0.11,0.01,"large",3
"pb_no_orb_mod",0.5,15,0.11,0.01,"large",3
"pb_no_orb_mod",0.8,15,0.11,0.01,"large",3
"pb_no_orb_mod",0,15,0.01,0.06,"large",3
"pb_no_orb_mod",0.2,15,0.01,0.06,"large",3
"pb_no_orb_mod",0.5,15,0.01,0.06,"large",3
"pb_no_orb_mod",0.8,15,0.01,0.06,"large",3
"pb_no_orb_mod",0,15,0.06,0.06,"large",3
"pb_no_orb_mod",0.2,15,0.06,0.06,"large",3
"pb_no_orb_mod",0.5,15,0.06,0.06,"large",3
"pb_no_orb_mod",0.8,15,0.06,0.06,"large",3
"pb_no_orb_mod",0,15,0.11,0.06,"large",3
"pb_no_orb_mod",0.2,15,0.11,0.06,"large",3
"pb_no_orb_mod",0.5,15,0.11,0.06,"large",3
"pb_no_orb_mod",0.8,15,0.11,0.06,"large",3
"pb_no_orb_mod",0,15,0.01,0.11,"large",3
"pb_no_orb_mod",0.2,15,0.01,0.11,"large",3
"pb_no_orb_mod",0.5,15,0.01,0.11,"large",3
"pb_no_orb_mod",0.8,15,0.01,0.11,"large",3
"pb_no_orb_mod",0,15,0.06,0.11,"large",3
"pb_no_orb_mod",0.2,15,0.06,0.11,"large",3
"pb_no_orb_mod",0.5,15,0.06,0.11,"large",3
"pb_no_orb_mod",0.8,15,0.06,0.11,"large",3
"pb_no_orb_mod",0,15,0.11,0.11,"large",3
"pb_no_orb_mod",0.2,15,0.11,0.11,"large",3
"pb_no_orb_mod",0.5,15,0.11,0.11,"large",3
"pb_no_orb_mod",0.8,15,0.11,0.11,"large",3
