"index","bt","k","d","su","sv","p","pet_smd_perc_non_conv","pet_tr_smd_perc_non_conv","peese_smd_perc_non_conv","peese_tr_smd_perc_non_conv","pet_int_smd_perc_z3","pet_int_tr_smd_perc_z3","pet_slope_smd_perc_z3","pet_slope_tr_smd_perc_z3","peese_int_smd_perc_z3","peese_int_tr_smd_perc_z3","peese_slope_smd_perc_z3","peese_slope_tr_smd_perc_z3","corrected_smd_perc_z3","corrected_tr_smd_smd_perc_z3"
1,"pb_no_orb_no",15,0,0.01,0.01,"small",1.9,0.2,1.8,0.1,0.2,0.5,0.51,0.5,0.2,0.4,0.51,0.6,0.41,0.5
2,"pb_no_orb_no",15,0,0.01,0.01,"medium",0.3,0.1,0.4,0,0.6,0.6,0.6,0.9,0.6,0.8,0.7,0.7,0.4,0.3
3,"pb_no_orb_no",15,0,0.01,0.01,"large",0,0,0.1,0,0.6,0.6,0.3,0.4,0.6,0.5,0.5,0.6,0.7,0.4
4,"pb_no_orb_no",15,0,0.01,0.06,"small",0.1,0.6,0.2,0.4,0.4,0.7,0.3,0.4,0.7,0.5,0.4,0.5,0.2,0.4
5,"pb_no_orb_no",15,0,0.01,0.06,"medium",0,0,0,0,0.6,0.8,1,1,0.5,0.7,0.9,1,0.5,0.4
6,"pb_no_orb_no",15,0,0.01,0.06,"large",0,0,0,0,0.8,0.8,0.4,0.6,1,0.7,0.5,0.5,0.5,0.6
7,"pb_no_orb_no",15,0,0.01,0.11,"small",0,0.2,0,0.3,0.4,0.5,0.4,0.4,0.4,0.4,0.3,0.4,0.2,0.4
8,"pb_no_orb_no",15,0,0.01,0.11,"medium",0,0.1,0,0,0.6,0.5,1,0.9,0.6,0.6,0.9,1,0.6,0.3
9,"pb_no_orb_no",15,0,0.01,0.11,"large",0,0.1,0,0.1,0.7,0.7,0.4,0.5,0.8,0.7,0.6,0.6,0.5,0.4
10,"pb_no_orb_no",15,0,0.06,0.01,"small",0,0,0,0.1,0.5,0.7,0.5,0.8,0.7,0.8,0.5,0.8,0.5,0.4
11,"pb_no_orb_no",15,0,0.06,0.01,"medium",0,0,0.1,0,0.4,0.6,0.8,0.8,0.6,0.5,0.9,0.9,0.4,0.7
12,"pb_no_orb_no",15,0,0.06,0.01,"large",0.1,0,0,0,0.6,0.7,0.8,0.9,0.6,0.6,1,1.2,0.7,0.8
13,"pb_no_orb_no",15,0,0.06,0.06,"small",0,0,0,0.1,0.8,0.6,0.9,0.7,0.8,0.7,0.8,0.8,0.5,0.3
14,"pb_no_orb_no",15,0,0.06,0.06,"medium",0,0,0,0,0.6,0.6,0.7,0.9,0.7,0.8,0.7,1.1,0.6,0.5
15,"pb_no_orb_no",15,0,0.06,0.06,"large",0,0,0,0,0.7,0.6,0.5,0.6,0.6,0.7,0.7,1.2,0.5,0.5
16,"pb_no_orb_no",15,0,0.06,0.11,"small",0,0.3,0,0.1,0.8,0.6,0.7,0.9,0.8,0.7,0.8,0.7,0.6,0.4
17,"pb_no_orb_no",15,0,0.06,0.11,"medium",0,0,0,0.1,0.7,0.7,0.8,1.1,0.7,0.9,0.7,0.6,0.7,0.4
18,"pb_no_orb_no",15,0,0.06,0.11,"large",0,0,0,0,0.5,0.7,0.6,0.6,0.6,0.7,0.8,1,0.4,0.5
19,"pb_no_orb_no",15,0,0.11,0.01,"small",0,0,0,0.1,0.5,0.8,0.5,0.8,0.8,0.6,0.5,0.9,0.4,0.4
20,"pb_no_orb_no",15,0,0.11,0.01,"medium",0,0,0.1,0,0.6,0.8,0.6,0.5,0.5,0.6,1,0.8,0.3,0.6
21,"pb_no_orb_no",15,0,0.11,0.01,"large",0,0,0.2,0,0.5,0.5,0.5,0.7,0.4,0.5,0.9,1.3,0.7,0.8
22,"pb_no_orb_no",15,0,0.11,0.06,"small",0,0,0,0,0.7,0.7,0.8,0.9,0.8,0.8,0.8,0.9,0.5,0.3
23,"pb_no_orb_no",15,0,0.11,0.06,"medium",0,0,0,0,0.8,0.6,0.9,0.7,0.9,0.6,0.7,0.9,0.7,0.5
24,"pb_no_orb_no",15,0,0.11,0.06,"large",0,0,0,0,0.5,0.9,0.6,1,0.7,0.7,0.7,0.9,0.6,0.6
25,"pb_no_orb_no",15,0,0.11,0.11,"small",0,0.1,0,0,0.7,0.6,0.6,0.8,0.8,0.8,1,0.9,0.5,0.4
26,"pb_no_orb_no",15,0,0.11,0.11,"medium",0,0,0,0,0.7,0.7,0.9,0.9,0.9,0.7,0.8,0.9,0.9,0.4
27,"pb_no_orb_no",15,0,0.11,0.11,"large",0,0,0,0,0.7,0.7,0.7,0.9,0.7,0.6,0.8,1.1,0.5,0.7
