"id","avg_perc_out_selected","avg_num_out_selected","avg_perc_stud_selected","avg_num_study_selected","avg_avg_n_out_per_study","avg_min_n_out_per_study","avg_max_n_out_per_study"
"pb_str_orb_str_k_15_d0.00_su0.01_sv0.01_small",14.2422222222222,6.409,42.7266666666667,6.409,1,1,1
"pb_str_orb_str_k_15_d0.00_su0.01_sv0.01_medium",16.5222222222222,7.435,49.5666666666667,7.435,1,1,1
"pb_str_orb_str_k_15_d0.00_su0.01_sv0.01_large",18.14,8.163,54.42,8.163,1,1,1
"pb_str_orb_str_k_15_d0.00_su0.01_sv0.06_small",16.3955555555556,7.378,49.1866666666667,7.378,1,1,1
"pb_str_orb_str_k_15_d0.00_su0.01_sv0.06_medium",19.1222222222222,8.605,57.3666666666667,8.605,1,1,1
"pb_str_orb_str_k_15_d0.00_su0.01_sv0.06_large",20.9244444444444,9.416,62.7733333333333,9.416,1,1,1
"pb_str_orb_str_k_15_d0.00_su0.01_sv0.11_small",17.5688888888889,7.906,52.7066666666667,7.906,1,1,1
"pb_str_orb_str_k_15_d0.00_su0.01_sv0.11_medium",20.5711111111111,9.257,61.7133333333333,9.257,1,1,1
"pb_str_orb_str_k_15_d0.00_su0.01_sv0.11_large",22.0266666666667,9.912,66.08,9.912,1,1,1
"pb_str_orb_str_k_15_d0.00_su0.06_sv0.01_small",17.68,7.956,53.04,7.956,1,1,1
"pb_str_orb_str_k_15_d0.00_su0.06_sv0.01_medium",21.5422222222222,9.694,64.6266666666667,9.694,1,1,1
"pb_str_orb_str_k_15_d0.00_su0.06_sv0.01_large",23.5466666666667,10.596,70.64,10.596,1,1,1
"pb_str_orb_str_k_15_d0.00_su0.06_sv0.06_small",19.16,8.622,57.48,8.622,1,1,1
"pb_str_orb_str_k_15_d0.00_su0.06_sv0.06_medium",22.6355555555556,10.186,67.9066666666667,10.186,1,1,1
"pb_str_orb_str_k_15_d0.00_su0.06_sv0.06_large",24.3711111111111,10.967,73.1133333333333,10.967,1,1,1
"pb_str_orb_str_k_15_d0.00_su0.06_sv0.11_small",19.9155555555556,8.962,59.7466666666667,8.962,1,1,1
"pb_str_orb_str_k_15_d0.00_su0.06_sv0.11_medium",23.2088888888889,10.444,69.6266666666667,10.444,1,1,1
"pb_str_orb_str_k_15_d0.00_su0.06_sv0.11_large",24.5022222222222,11.026,73.5066666666667,11.026,1,1,1
"pb_str_orb_str_k_15_d0.00_su0.11_sv0.01_small",19.8066666666667,8.913,59.42,8.913,1,1,1
"pb_str_orb_str_k_15_d0.00_su0.11_sv0.01_medium",23.7822222222222,10.702,71.3466666666667,10.702,1,1,1
"pb_str_orb_str_k_15_d0.00_su0.11_sv0.01_large",25.5155555555556,11.482,76.5466666666667,11.482,1,1,1
"pb_str_orb_str_k_15_d0.00_su0.11_sv0.06_small",20.7777777777778,9.35,62.3333333333333,9.35,1,1,1
"pb_str_orb_str_k_15_d0.00_su0.11_sv0.06_medium",24.18,10.881,72.54,10.881,1,1,1
"pb_str_orb_str_k_15_d0.00_su0.11_sv0.06_large",25.8777777777778,11.645,77.6333333333333,11.645,1,1,1
"pb_str_orb_str_k_15_d0.00_su0.11_sv0.11_small",21.4355555555556,9.646,64.3066666666667,9.646,1,1,1
"pb_str_orb_str_k_15_d0.00_su0.11_sv0.11_medium",24.5288888888889,11.038,73.5866666666667,11.038,1,1,1
"pb_str_orb_str_k_15_d0.00_su0.11_sv0.11_large",26.1977777777778,11.789,78.5933333333333,11.789,1,1,1
"pb_str_orb_str_k_15_d0.20_su0.01_sv0.01_small",17.7888888888889,8.005,53.3666666666667,8.005,1,1,1
"pb_str_orb_str_k_15_d0.20_su0.01_sv0.01_medium",22.1688888888889,9.976,66.5066666666667,9.976,1,1,1
"pb_str_orb_str_k_15_d0.20_su0.01_sv0.01_large",24.9666666666667,11.235,74.9,11.235,1,1,1
"pb_str_orb_str_k_15_d0.20_su0.01_sv0.06_small",19.2644444444444,8.669,57.7933333333333,8.669,1,1,1
"pb_str_orb_str_k_15_d0.20_su0.01_sv0.06_medium",23.0266666666667,10.362,69.08,10.362,1,1,1
"pb_str_orb_str_k_15_d0.20_su0.01_sv0.06_large",24.8155555555556,11.167,74.4466666666667,11.167,1,1,1
