"id","avg_perc_out_selected","avg_num_out_selected","avg_perc_stud_selected","avg_num_study_selected","avg_avg_n_out_per_study","avg_min_n_out_per_study","avg_max_n_out_per_study"
"pb_str_orb_no_k_15_d0.00_su0.01_sv0.01_small",20.4133333333333,3.062,20.4133333333333,3.062,0.961,0.961,0.961
"pb_str_orb_no_k_15_d0.00_su0.01_sv0.01_medium",27.56,4.134,27.56,4.134,0.985,0.985,0.985
"pb_str_orb_no_k_15_d0.00_su0.01_sv0.01_large",32.6333333333333,4.895,32.6333333333333,4.895,0.999,0.999,0.999
"pb_str_orb_no_k_15_d0.00_su0.01_sv0.06_small",26.08,3.912,26.08,3.912,0.984,0.984,0.984
"pb_str_orb_no_k_15_d0.00_su0.01_sv0.06_medium",36.0733333333333,5.411,36.0733333333333,5.411,0.999,0.999,0.999
"pb_str_orb_no_k_15_d0.00_su0.01_sv0.06_large",43.18,6.477,43.18,6.477,1,1,1
"pb_str_orb_no_k_15_d0.00_su0.01_sv0.11_small",29.88,4.482,29.88,4.482,0.994,0.994,0.994
"pb_str_orb_no_k_15_d0.00_su0.01_sv0.11_medium",42.08,6.312,42.08,6.312,1,1,1
"pb_str_orb_no_k_15_d0.00_su0.01_sv0.11_large",49.94,7.491,49.94,7.491,1,1,1
"pb_str_orb_no_k_15_d0.00_su0.06_sv0.01_small",33.1066666666667,4.966,33.1066666666667,4.966,0.998,0.998,0.998
"pb_str_orb_no_k_15_d0.00_su0.06_sv0.01_medium",46.6666666666667,7,46.6666666666667,7,1,1,1
"pb_str_orb_no_k_15_d0.00_su0.06_sv0.01_large",54.5866666666667,8.188,54.5866666666667,8.188,1,1,1
"pb_str_orb_no_k_15_d0.00_su0.06_sv0.06_small",36.2133333333333,5.432,36.2133333333333,5.432,0.998,0.998,0.998
"pb_str_orb_no_k_15_d0.00_su0.06_sv0.06_medium",50.4266666666667,7.564,50.4266666666667,7.564,1,1,1
"pb_str_orb_no_k_15_d0.00_su0.06_sv0.06_large",58.0666666666667,8.71,58.0666666666667,8.71,1,1,1
"pb_str_orb_no_k_15_d0.00_su0.06_sv0.11_small",38.8666666666667,5.83,38.8666666666667,5.83,1,1,1
"pb_str_orb_no_k_15_d0.00_su0.06_sv0.11_medium",53.4133333333333,8.012,53.4133333333333,8.012,1,1,1
"pb_str_orb_no_k_15_d0.00_su0.06_sv0.11_large",61.0066666666667,9.151,61.0066666666667,9.151,1,1,1
"pb_str_orb_no_k_15_d0.00_su0.11_sv0.01_small",40.88,6.132,40.88,6.132,1,1,1
"pb_str_orb_no_k_15_d0.00_su0.11_sv0.01_medium",56.14,8.421,56.14,8.421,1,1,1
"pb_str_orb_no_k_15_d0.00_su0.11_sv0.01_large",63.72,9.558,63.72,9.558,1,1,1
"pb_str_orb_no_k_15_d0.00_su0.11_sv0.06_small",43.3333333333333,6.5,43.3333333333333,6.5,1,1,1
"pb_str_orb_no_k_15_d0.00_su0.11_sv0.06_medium",58.1533333333333,8.723,58.1533333333333,8.723,1,1,1
"pb_str_orb_no_k_15_d0.00_su0.11_sv0.06_large",65.5533333333333,9.833,65.5533333333333,9.833,1,1,1
"pb_str_orb_no_k_15_d0.00_su0.11_sv0.11_small",45.3933333333333,6.809,45.3933333333333,6.809,1,1,1
"pb_str_orb_no_k_15_d0.00_su0.11_sv0.11_medium",59.6733333333333,8.951,59.6733333333333,8.951,1,1,1
"pb_str_orb_no_k_15_d0.00_su0.11_sv0.11_large",66.9066666666667,10.036,66.9066666666667,10.036,1,1,1
"pb_str_orb_no_k_15_d0.20_su0.01_sv0.01_small",32.9533333333333,4.943,32.9533333333333,4.943,0.999,0.999,0.999
"pb_str_orb_no_k_15_d0.20_su0.01_sv0.01_medium",49.0533333333333,7.358,49.0533333333333,7.358,1,1,1
"pb_str_orb_no_k_15_d0.20_su0.01_sv0.01_large",59,8.85,59,8.85,1,1,1
"pb_str_orb_no_k_15_d0.20_su0.01_sv0.06_small",35.3933333333333,5.309,35.3933333333333,5.309,1,1,1
"pb_str_orb_no_k_15_d0.20_su0.01_sv0.06_medium",51.02,7.653,51.02,7.653,1,1,1
"pb_str_orb_no_k_15_d0.20_su0.01_sv0.06_large",59.7733333333333,8.966,59.7733333333333,8.966,1,1,1
"pb_str_orb_no_k_15_d0.20_su0.01_sv0.11_small",37.7466666666667,5.662,37.7466666666667,5.662,1,1,1
"pb_str_orb_no_k_15_d0.20_su0.01_sv0.11_medium",53.4333333333333,8.015,53.4333333333333,8.015,1,1,1
"pb_str_orb_no_k_15_d0.20_su0.01_sv0.11_large",61.84,9.276,61.84,9.276,1,1,1
"pb_str_orb_no_k_15_d0.20_su0.06_sv0.01_small",40.4466666666667,6.067,40.4466666666667,6.067,0.999,0.999,0.999
"pb_str_orb_no_k_15_d0.20_su0.06_sv0.01_medium",55.94,8.391,55.94,8.391,1,1,1
"pb_str_orb_no_k_15_d0.20_su0.06_sv0.01_large",63.6466666666667,9.547,63.6466666666667,9.547,1,1,1
"pb_str_orb_no_k_15_d0.20_su0.06_sv0.06_small",42.4733333333333,6.371,42.4733333333333,6.371,0.999,0.999,0.999
"pb_str_orb_no_k_15_d0.20_su0.06_sv0.06_medium",57.5533333333333,8.633,57.5533333333333,8.633,1,1,1
"pb_str_orb_no_k_15_d0.20_su0.06_sv0.06_large",65.3866666666667,9.808,65.3866666666667,9.808,1,1,1
"pb_str_orb_no_k_15_d0.20_su0.06_sv0.11_small",44.5133333333333,6.677,44.5133333333333,6.677,0.999,0.999,0.999
"pb_str_orb_no_k_15_d0.20_su0.06_sv0.11_medium",59,8.85,59,8.85,1,1,1
"pb_str_orb_no_k_15_d0.20_su0.06_sv0.11_large",66.9466666666667,10.042,66.9466666666667,10.042,1,1,1
"pb_str_orb_no_k_15_d0.20_su0.11_sv0.01_small",46.2533333333333,6.938,46.2533333333333,6.938,1,1,1
"pb_str_orb_no_k_15_d0.20_su0.11_sv0.01_medium",61.2,9.18,61.2,9.18,1,1,1
"pb_str_orb_no_k_15_d0.20_su0.11_sv0.01_large",68.2533333333333,10.238,68.2533333333333,10.238,1,1,1
"pb_str_orb_no_k_15_d0.20_su0.11_sv0.06_small",47.7466666666667,7.162,47.7466666666667,7.162,0.999,0.999,0.999
"pb_str_orb_no_k_15_d0.20_su0.11_sv0.06_medium",62.4266666666667,9.364,62.4266666666667,9.364,1,1,1
"pb_str_orb_no_k_15_d0.20_su0.11_sv0.06_large",69.3733333333333,10.406,69.3733333333333,10.406,1,1,1
"pb_str_orb_no_k_15_d0.20_su0.11_sv0.11_small",49.16,7.374,49.16,7.374,1,1,1
"pb_str_orb_no_k_15_d0.20_su0.11_sv0.11_medium",63.8266666666667,9.574,63.8266666666667,9.574,1,1,1
"pb_str_orb_no_k_15_d0.20_su0.11_sv0.11_large",70.42,10.563,70.42,10.563,1,1,1
"pb_str_orb_no_k_15_d0.50_su0.01_sv0.01_small",70.7333333333333,10.61,70.7333333333333,10.61,1,1,1
"pb_str_orb_no_k_15_d0.50_su0.01_sv0.01_medium",90.6333333333333,13.595,90.6333333333333,13.595,1,1,1
"pb_str_orb_no_k_15_d0.50_su0.01_sv0.01_large",96.08,14.412,96.08,14.412,1,1,1
"pb_str_orb_no_k_15_d0.50_su0.01_sv0.06_small",68.7266666666667,10.309,68.7266666666667,10.309,1,1,1
"pb_str_orb_no_k_15_d0.50_su0.01_sv0.06_medium",87.1333333333333,13.07,87.1333333333333,13.07,1,1,1
"pb_str_orb_no_k_15_d0.50_su0.01_sv0.06_large",92.7733333333333,13.916,92.7733333333333,13.916,1,1,1
"pb_str_orb_no_k_15_d0.50_su0.01_sv0.11_small",67.5666666666667,10.135,67.5666666666667,10.135,1,1,1
"pb_str_orb_no_k_15_d0.50_su0.01_sv0.11_medium",84.7066666666667,12.706,84.7066666666667,12.706,1,1,1
"pb_str_orb_no_k_15_d0.50_su0.01_sv0.11_large",90.1666666666667,13.525,90.1666666666667,13.525,1,1,1
"pb_str_orb_no_k_15_d0.50_su0.06_sv0.01_small",66.94,10.041,66.94,10.041,1,1,1
"pb_str_orb_no_k_15_d0.50_su0.06_sv0.01_medium",82.62,12.393,82.62,12.393,1,1,1
"pb_str_orb_no_k_15_d0.50_su0.06_sv0.01_large",87.9866666666667,13.198,87.9866666666667,13.198,1,1,1
"pb_str_orb_no_k_15_d0.50_su0.06_sv0.06_small",65.96,9.894,65.96,9.894,1,1,1
