"id","id_rollup_psss","bt","k","delta_00","sigma2_u","sigma2_v","psss","rej_pet_slope","rej_pet_int","bias_pet_int","mse_pet_int","rej_peese_slope","rej_peese_int","bias_peese_int","mse_peese_int","rej_pet_st_slope","rej_pet_st_int","bias_pet_st_int","mse_pet_st_int","rej_peese_st_slope","rej_peese_st_int","bias_peese_st_int","mse_peese_st_int","bias_corrected_smd","mse_corrected_smd","bias_corrected_st_smd","mse_corrected_st_smd","bias_corrected_smd_subset","mse_corrected_smd_subset","bias_corrected_st_smd_subset","mse_corrected_st_smd_subset","subset_size","avg_perc_out_selected","avg_num_out_selected","avg_perc_stud_selected","avg_num_study_selected","avg_avg_n_out_per_study","avg_min_n_out_per_study","avg_max_n_out_per_study","k_cat","sigma2_u_cat","sigma2_v_cat"
"orb_0_k_15_d0.00_su0.01_sv0.01_small","orb_0_k_15_d0.00_su0.01_sv0.01","orb_0",15,0,0.01,0.01,"small",0.02,0.0128571428571429,0.0300457749862858,553.833682255135,0.0182072829131653,0.00840336134453781,0.143764915878368,140.74987245026,0.0197461212976023,0.0152143845089903,-956933592215976,6.62982630096592e+32,0.0138504155124654,0.0108695652173913,4623480.67425397,15792863518945016,-0.0112140644206471,553.545240342992,-956933592215976,6.62982630096592e+32,NA,NA,NA,NA,314,6.18222222222222,2.782,17.3133333333333,2.597,0.999069047619048,0.943,1.103,"small","small","small"
"orb_0_k_15_d0.00_su0.01_sv0.06_small","orb_0_k_15_d0.00_su0.01_sv0.06","orb_0",15,0,0.01,0.06,"small",0.0460878885316184,0.0332261521972133,-0.768049156546542,629.870861278539,0.0443037974683544,0.0274261603375527,-0.195080529336023,46.307216603659,0.0371155885471898,0.0337909186906019,-53950353197904696,2.75928379268895e+36,0.0335429769392034,0.0250521920668058,-8906706.10530685,75960580181055120,-0.834174926395351,629.380971224374,-53950353197904696,2.75928379268895e+36,-1.1895446410823,18.4492770587796,-14.5267537671946,6838.97680263798,110,11.8555555555556,5.335,31.1466666666667,4.672,1.13657420634921,1,1.505,"small","small","medium"
"orb_0_k_15_d0.00_su0.01_sv0.11_small","orb_0_k_15_d0.00_su0.01_sv0.11","orb_0",15,0,0.01,0.11,"small",0.0525252525252525,0.0414141414141414,-0.0652531734578807,9.96990236127118,0.0494949494949495,0.0272727272727273,-0.0374966998047137,2.46679631234803,0.04321608040201,0.0402010050251256,1.69767528125089,738057.728420089,0.0420841683366733,0.0290581162324649,-0.144825625973501,63.9286620599017,-0.14009529651799,9.56253723214782,1.5641565657518,738056.11939942,-0.230823721978397,6.95129063774553,-0.0798300849625903,16.7009812370417,62,16.8688888888889,7.591,41.7133333333333,6.257,1.21275686258186,1.001,1.812,"small","small","large"
"orb_0_k_15_d0.00_su0.06_sv0.01_small","orb_0_k_15_d0.00_su0.06_sv0.01","orb_0",15,0,0.06,0.01,"small",0.0640883977900552,0.0342541436464088,-0.430355139739138,62.2073721385923,0.0630434782608696,0.0282608695652174,-0.115319305794875,22.1397709621164,0.0404371584699454,0.0357917570498915,-2.4534013104458e+20,5.55570238472783e+43,0.0333692142088267,0.0277777777777778,-571443117.598078,3.28822535831075e+20,-0.526744951546812,61.5964595936812,-2.45606515551686e+20,5.56174117745248e+43,NA,NA,NA,NA,153,11.8355555555556,5.326,28.5133333333333,4.277,1.22916637806638,1.006,1.716,"small","medium","small"
"orb_0_k_15_d0.00_su0.06_sv0.06_small","orb_0_k_15_d0.00_su0.06_sv0.06","orb_0",15,0,0.06,0.06,"small",0.0792682926829268,0.0548780487804878,-0.0377591078225013,8.12507574022728,0.0723014256619145,0.0468431771894094,-0.0136899344576919,2.04141020762617,0.0603621730382294,0.057286432160804,-3.37729525143316e+22,1.13604987224916e+48,0.0565656565656566,0.0494450050454087,-6955763043.14989,4.79955785290149e+22,-0.144691466880989,7.54181901278215,-3.38069293277263e+22,1.13719392821703e+48,-0.649630158312487,8.96670526593217,-1.07344589526026,21.8691151691235,94,16.9177777777778,7.613,40.3733333333333,6.056,1.25855815295815,1.002,1.92,"small","medium","medium"
"orb_0_k_15_d0.00_su0.06_sv0.11_small","orb_0_k_15_d0.00_su0.06_sv0.11","orb_0",15,0,0.06,0.11,"small",0.0692076228686058,0.0471414242728185,-0.0304114839362637,4.64549533352178,0.0671342685370741,0.0410821643286573,-0.0200451447483365,1.21701067555211,0.0502008032128514,0.0421263791374122,61706.0687206957,3800023680311.8,0.0481444332998997,0.0400801603206413,10.3333386640984,106681.829968195,-0.101937134523367,4.25031260607307,61705.937149388,3800023680326.5,-0.802571089868673,7.28536022696466,-1.39735180343799,17.0589187244978,72,21.32,9.594,49.2466666666667,7.387,1.29914466644467,1.002,2.091,"small","medium","large"
"orb_0_k_15_d0.00_su0.11_sv0.01_small","orb_0_k_15_d0.00_su0.11_sv0.01","orb_0",15,0,0.11,0.01,"small",0.0801248699271592,0.0457856399583767,-0.358184502269723,36.0574511748514,0.0815273477812178,0.0381836945304438,-0.215392906969763,10.327419517723,0.0537190082644628,0.043343653250774,-1188040564305.66,1.36816014304075e+27,0.046795523906409,0.0396341463414634,-41455.3546587104,1631934113661.94,-0.451777332685098,35.2608580758446,-1189267878939.01,1.3695749902231e+27,NA,NA,NA,NA,116,16.7111111111111,7.52,36.04,5.406,1.38785541125541,1.014,2.171,"small","large","small"
"orb_0_k_15_d0.00_su0.11_sv0.06_small","orb_0_k_15_d0.00_su0.11_sv0.06","orb_0",15,0,0.11,0.06,"small",0.0883534136546185,0.0562248995983936,0.0215074855479466,4.16194796800906,0.0916414904330312,0.0473313192346425,-0.00144401216073638,1.04175864038376,0.0552763819095477,0.0522613065326633,0.187056010534209,13.6596092095189,0.0561685055165497,0.0491474423269809,0.0277953554479707,1.43761738342534,-0.0718237821045039,3.64227874660754,0.00261292652791274,11.5354874105239,-0.523339602009205,6.7957382066839,-0.667910885233903,13.4178060303358,92,21.1711111111111,9.527,46.6133333333333,6.992,1.36128950771451,1.002,2.252,"small","large","medium"
"orb_0_k_15_d0.00_su0.11_sv0.11_small","orb_0_k_15_d0.00_su0.11_sv0.11","orb_0",15,0,0.11,0.11,"small",0.0921843687374749,0.0490981963927856,0.0343081567712176,3.72606612166098,0.0882647943831495,0.0441323971915747,0.0108737431726393,0.953644389034224,0.0601202404809619,0.0480961923847695,0.0219494183164197,13.1209040413724,0.0620620620620621,0.039039039039039,0.0113826960661671,1.33723235440122,-0.0520593037266486,3.2576040404058,-0.172178132555112,9.6360512128894,-0.558696883078291,7.29551690323606,-0.885765395244761,18.4246826400789,94,25.06,11.277,54.2466666666667,8.137,1.38709721667222,1.002,2.332,"small","large","large"
"orb_0_k_15_d0.00_su0.01_sv0.01_medium","orb_0_k_15_d0.00_su0.01_sv0.01","orb_0",15,0,0.01,0.01,"medium",0.032293986636971,0.0256124721603563,-0.0472386299138072,20.3192036067843,0.032293986636971,0.0256124721603563,-0.0545718138088228,4.82913857036478,0.0286028602860286,0.0251091703056769,403315.272923715,148185008624442,0.0230769230769231,0.0239912758996728,27.1492537597956,590624.948081563,-0.068253790680449,20.2519351412301,403315.244434976,148185008624467,NA,NA,NA,NA,131,10.2488888888889,4.612,26.72,4.008,1.13690360750361,1.004,1.45,"small","small","small"
"orb_0_k_15_d0.00_su0.01_sv0.06_medium","orb_0_k_15_d0.00_su0.01_sv0.06","orb_0",15,0,0.01,0.06,"medium",0.0620620620620621,0.036036036036036,-0.0416550035049964,1.56491222371918,0.064,0.035,-0.0281352547499338,0.421806388450938,0.0470941883767535,0.0350701402805611,-0.173647329537914,163.233892275301,0.045,0.036,-0.0315258021192297,1.16549485775428,-0.0753967583314343,1.4503629393391,-0.216704247140105,163.045421447092,-0.75978317959614,3.15684933844385,-1.00535609927476,6.7434977179178,63,22.9355555555556,10.321,52.76,7.914,1.30964521034521,1.002,2.117,"small","small","medium"
"orb_0_k_15_d0.00_su0.01_sv0.11_medium","orb_0_k_15_d0.00_su0.01_sv0.11","orb_0",15,0,0.01,0.11,"medium",0.063,0.034,-0.0523263043020005,1.01940170217176,0.063,0.026,-0.0286189313191265,0.265704502733726,0.04004004004004,0.034034034034034,-0.0120343885802975,4.5257182111694,0.042,0.028,-0.0274972959010739,0.327630970366523,-0.0843710336870288,0.831416357809233,-0.0931081590801115,0.999129360379553,-0.321859735575868,3.14466111822735,-0.359777443886612,4.74584600038904,63,31.3933333333333,14.127,66.0133333333333,9.902,1.4311013958264,1,2.451,"small","small","large"
"orb_0_k_15_d0.00_su0.06_sv0.01_medium","orb_0_k_15_d0.00_su0.06_sv0.01","orb_0",15,0,0.06,0.01,"medium",0.0718623481781376,0.0425101214574899,-0.0416987771720009,2.00701774389926,0.0755287009063444,0.0443101711983887,-0.0237516411513249,0.51232871340107,0.0512562814070352,0.0441767068273092,-0.567440610988575,373.260090676681,0.0501002004008016,0.043043043043043,-0.0301245405391395,1.38709287647469,-0.0950125714985572,1.80089438912822,-0.636685533538337,372.887328395584,-0.285804417212667,3.49728490003506,-0.226990206559129,4.64985104193567,83,22.5377777777778,10.142,45.4466666666667,6.817,1.48795746475746,1.008,2.497,"small","medium","small"
"orb_0_k_15_d0.00_su0.06_sv0.06_medium","orb_0_k_15_d0.00_su0.06_sv0.06","orb_0",15,0,0.06,0.06,"medium",0.073,0.052,-0.0508156455924243,1.18003356519536,0.0770770770770771,0.039039039039039,-0.0283266822180447,0.303886794506274,0.0581745235707121,0.0521564694082247,-0.0302474249024318,2.94625862687594,0.058,0.038,-0.0193709374715189,0.375060521428544,-0.0929738891222655,1.04782864401021,-0.0757192807651861,2.77772987361551,-0.763805792922434,4.45065939968554,-1.11062415919389,12.7279123856832,73,31.4066666666667,14.133,63.2666666666667,9.49,1.49134524364524,1,2.59,"small","medium","medium"
