"id","avg_perc_out_selected","avg_num_out_selected","avg_perc_stud_selected","avg_num_study_selected","avg_avg_n_out_per_study","avg_min_n_out_per_study","avg_max_n_out_per_study"
"pb_mod_orb_no_k_15_d0.00_su0.01_sv0.01_small",40.0466666666667,6.007,40.0466666666667,6.007,1,1,1
"pb_mod_orb_no_k_15_d0.00_su0.01_sv0.01_medium",45.96,6.894,45.96,6.894,1,1,1
"pb_mod_orb_no_k_15_d0.00_su0.01_sv0.01_large",50.4933333333333,7.574,50.4933333333333,7.574,1,1,1
"pb_mod_orb_no_k_15_d0.00_su0.01_sv0.06_small",44.3666666666667,6.655,44.3666666666667,6.655,1,1,1
"pb_mod_orb_no_k_15_d0.00_su0.01_sv0.06_medium",52.9133333333333,7.937,52.9133333333333,7.937,1,1,1
"pb_mod_orb_no_k_15_d0.00_su0.01_sv0.06_large",58.8733333333333,8.831,58.8733333333333,8.831,1,1,1
"pb_mod_orb_no_k_15_d0.00_su0.01_sv0.11_small",47.4733333333333,7.121,47.4733333333333,7.121,1,1,1
"pb_mod_orb_no_k_15_d0.00_su0.01_sv0.11_medium",58.0666666666667,8.71,58.0666666666667,8.71,1,1,1
"pb_mod_orb_no_k_15_d0.00_su0.01_sv0.11_large",63.7066666666667,9.556,63.7066666666667,9.556,1,1,1
"pb_mod_orb_no_k_15_d0.00_su0.06_sv0.01_small",51.0533333333333,7.658,51.0533333333333,7.658,1,1,1
"pb_mod_orb_no_k_15_d0.00_su0.06_sv0.01_medium",61.5066666666667,9.226,61.5066666666667,9.226,1,1,1
"pb_mod_orb_no_k_15_d0.00_su0.06_sv0.01_large",67.9266666666667,10.189,67.9266666666667,10.189,1,1,1
"pb_mod_orb_no_k_15_d0.00_su0.06_sv0.06_small",53.5866666666667,8.038,53.5866666666667,8.038,1,1,1
"pb_mod_orb_no_k_15_d0.00_su0.06_sv0.06_medium",63.8733333333333,9.581,63.8733333333333,9.581,1,1,1
"pb_mod_orb_no_k_15_d0.00_su0.06_sv0.06_large",70.34,10.551,70.34,10.551,1,1,1
"pb_mod_orb_no_k_15_d0.00_su0.06_sv0.11_small",55.38,8.307,55.38,8.307,1,1,1
"pb_mod_orb_no_k_15_d0.00_su0.06_sv0.11_medium",66.0466666666667,9.907,66.0466666666667,9.907,1,1,1
"pb_mod_orb_no_k_15_d0.00_su0.06_sv0.11_large",72.14,10.821,72.14,10.821,1,1,1
"pb_mod_orb_no_k_15_d0.00_su0.11_sv0.01_small",57.38,8.607,57.38,8.607,1,1,1
"pb_mod_orb_no_k_15_d0.00_su0.11_sv0.01_medium",68.58,10.287,68.58,10.287,1,1,1
"pb_mod_orb_no_k_15_d0.00_su0.11_sv0.01_large",74.46,11.169,74.46,11.169,1,1,1
"pb_mod_orb_no_k_15_d0.00_su0.11_sv0.06_small",59.02,8.853,59.02,8.853,1,1,1
"pb_mod_orb_no_k_15_d0.00_su0.11_sv0.06_medium",69.64,10.446,69.64,10.446,1,1,1
"pb_mod_orb_no_k_15_d0.00_su0.11_sv0.06_large",75.84,11.376,75.84,11.376,1,1,1
"pb_mod_orb_no_k_15_d0.00_su0.11_sv0.11_small",60.34,9.051,60.34,9.051,1,1,1
"pb_mod_orb_no_k_15_d0.00_su0.11_sv0.11_medium",70.68,10.602,70.68,10.602,1,1,1
"pb_mod_orb_no_k_15_d0.00_su0.11_sv0.11_large",76.8466666666667,11.527,76.8466666666667,11.527,1,1,1
"pb_mod_orb_no_k_15_d0.20_su0.01_sv0.01_small",50.58,7.587,50.58,7.587,1,1,1
"pb_mod_orb_no_k_15_d0.20_su0.01_sv0.01_medium",63.6333333333333,9.545,63.6333333333333,9.545,1,1,1
"pb_mod_orb_no_k_15_d0.20_su0.01_sv0.01_large",71.2533333333333,10.688,71.2533333333333,10.688,1,1,1
"pb_mod_orb_no_k_15_d0.20_su0.01_sv0.06_small",52.9733333333333,7.946,52.9733333333333,7.946,1,1,1
