"id","avg_perc_out_selected","avg_num_out_selected","avg_perc_stud_selected","avg_num_study_selected","avg_avg_n_out_per_study","avg_min_n_out_per_study","avg_max_n_out_per_study"
"pb_mod_orb_str_k_15_d0.00_su0.01_sv0.01_small",53.0066666666667,7.951,53.0066666666667,7.951,1,1,1
"pb_mod_orb_str_k_15_d0.00_su0.01_sv0.01_medium",59.6466666666667,8.947,59.6466666666667,8.947,1,1,1
"pb_mod_orb_str_k_15_d0.00_su0.01_sv0.01_large",64.1533333333333,9.623,64.1533333333333,9.623,1,1,1
"pb_mod_orb_str_k_15_d0.00_su0.01_sv0.06_small",59.2466666666667,8.887,59.2466666666667,8.887,1,1,1
"pb_mod_orb_str_k_15_d0.00_su0.01_sv0.06_medium",67.16,10.074,67.16,10.074,1,1,1
"pb_mod_orb_str_k_15_d0.00_su0.01_sv0.06_large",71.6066666666667,10.741,71.6066666666667,10.741,1,1,1
"pb_mod_orb_str_k_15_d0.00_su0.01_sv0.11_small",62.9266666666667,9.439,62.9266666666667,9.439,1,1,1
"pb_mod_orb_str_k_15_d0.00_su0.01_sv0.11_medium",70.9733333333333,10.646,70.9733333333333,10.646,1,1,1
"pb_mod_orb_str_k_15_d0.00_su0.01_sv0.11_large",75.0333333333333,11.255,75.0333333333333,11.255,1,1,1
"pb_mod_orb_str_k_15_d0.00_su0.06_sv0.01_small",62.1866666666667,9.328,62.1866666666667,9.328,1,1,1
"pb_mod_orb_str_k_15_d0.00_su0.06_sv0.01_medium",72.1733333333333,10.826,72.1733333333333,10.826,1,1,1
"pb_mod_orb_str_k_15_d0.00_su0.06_sv0.01_large",77.2733333333333,11.591,77.2733333333333,11.591,1,1,1
"pb_mod_orb_str_k_15_d0.00_su0.06_sv0.06_small",66.58,9.987,66.58,9.987,1,1,1
"pb_mod_orb_str_k_15_d0.00_su0.06_sv0.06_medium",75.4733333333333,11.321,75.4733333333333,11.321,1,1,1
"pb_mod_orb_str_k_15_d0.00_su0.06_sv0.06_large",79.66,11.949,79.66,11.949,1,1,1
"pb_mod_orb_str_k_15_d0.00_su0.06_sv0.11_small",69.02,10.353,69.02,10.353,1,1,1
"pb_mod_orb_str_k_15_d0.00_su0.06_sv0.11_medium",77.4266666666667,11.614,77.4266666666667,11.614,1,1,1
"pb_mod_orb_str_k_15_d0.00_su0.06_sv0.11_large",80.58,12.087,80.58,12.087,1,1,1
"pb_mod_orb_str_k_15_d0.00_su0.11_sv0.01_small",67.5133333333333,10.127,67.5133333333333,10.127,1,1,1
"pb_mod_orb_str_k_15_d0.00_su0.11_sv0.01_medium",77.8866666666667,11.683,77.8866666666667,11.683,1,1,1
"pb_mod_orb_str_k_15_d0.00_su0.11_sv0.01_large",81.6133333333333,12.242,81.6133333333333,12.242,1,1,1
"pb_mod_orb_str_k_15_d0.00_su0.11_sv0.06_small",70.6066666666667,10.591,70.6066666666667,10.591,1,1,1
"pb_mod_orb_str_k_15_d0.00_su0.11_sv0.06_medium",79.2266666666667,11.884,79.2266666666667,11.884,1,1,1
"pb_mod_orb_str_k_15_d0.00_su0.11_sv0.06_large",83.4466666666667,12.517,83.4466666666667,12.517,1,1,1
"pb_mod_orb_str_k_15_d0.00_su0.11_sv0.11_small",72.3133333333333,10.847,72.3133333333333,10.847,1,1,1
"pb_mod_orb_str_k_15_d0.00_su0.11_sv0.11_medium",80.4066666666667,12.061,80.4066666666667,12.061,1,1,1
"pb_mod_orb_str_k_15_d0.00_su0.11_sv0.11_large",84.2266666666667,12.634,84.2266666666667,12.634,1,1,1
"pb_mod_orb_str_k_15_d0.20_su0.01_sv0.01_small",62.9266666666667,9.439,62.9266666666667,9.439,1,1,1
"pb_mod_orb_str_k_15_d0.20_su0.01_sv0.01_medium",74.0733333333333,11.111,74.0733333333333,11.111,1,1,1
"pb_mod_orb_str_k_15_d0.20_su0.01_sv0.01_large",80.8133333333333,12.122,80.8133333333333,12.122,1,1,1
"pb_mod_orb_str_k_15_d0.20_su0.01_sv0.06_small",66.9933333333333,10.049,66.9933333333333,10.049,1,1,1
"pb_mod_orb_str_k_15_d0.20_su0.01_sv0.06_medium",76.7466666666667,11.512,76.7466666666667,11.512,1,1,1
"pb_mod_orb_str_k_15_d0.20_su0.01_sv0.06_large",80.8666666666667,12.13,80.8666666666667,12.13,1,1,1
"pb_mod_orb_str_k_15_d0.20_su0.01_sv0.11_small",68.44,10.266,68.44,10.266,1,1,1
"pb_mod_orb_str_k_15_d0.20_su0.01_sv0.11_medium",77.42,11.613,77.42,11.613,1,1,1
"pb_mod_orb_str_k_15_d0.20_su0.01_sv0.11_large",81.42,12.213,81.42,12.213,1,1,1
"pb_mod_orb_str_k_15_d0.20_su0.06_sv0.01_small",67.56,10.134,67.56,10.134,1,1,1
"pb_mod_orb_str_k_15_d0.20_su0.06_sv0.01_medium",77.58,11.637,77.58,11.637,1,1,1
"pb_mod_orb_str_k_15_d0.20_su0.06_sv0.01_large",82.36,12.354,82.36,12.354,1,1,1
"pb_mod_orb_str_k_15_d0.20_su0.06_sv0.06_small",70.8,10.62,70.8,10.62,1,1,1
"pb_mod_orb_str_k_15_d0.20_su0.06_sv0.06_medium",79.4866666666667,11.923,79.4866666666667,11.923,1,1,1
"pb_mod_orb_str_k_15_d0.20_su0.06_sv0.06_large",83.0933333333333,12.464,83.0933333333333,12.464,1,1,1
"pb_mod_orb_str_k_15_d0.20_su0.06_sv0.11_small",72.86,10.929,72.86,10.929,1,1,1
"pb_mod_orb_str_k_15_d0.20_su0.06_sv0.11_medium",80.7466666666667,12.112,80.7466666666667,12.112,1,1,1
"pb_mod_orb_str_k_15_d0.20_su0.06_sv0.11_large",83.86,12.579,83.86,12.579,1,1,1
"pb_mod_orb_str_k_15_d0.20_su0.11_sv0.01_small",70.8,10.62,70.8,10.62,1,1,1
"pb_mod_orb_str_k_15_d0.20_su0.11_sv0.01_medium",80.4666666666667,12.07,80.4666666666667,12.07,1,1,1
"pb_mod_orb_str_k_15_d0.20_su0.11_sv0.01_large",84.4866666666667,12.673,84.4866666666667,12.673,1,1,1
"pb_mod_orb_str_k_15_d0.20_su0.11_sv0.06_small",73.32,10.998,73.32,10.998,1,1,1
"pb_mod_orb_str_k_15_d0.20_su0.11_sv0.06_medium",82.16,12.324,82.16,12.324,1,1,1
"pb_mod_orb_str_k_15_d0.20_su0.11_sv0.06_large",85.72,12.858,85.72,12.858,1,1,1
"pb_mod_orb_str_k_15_d0.20_su0.11_sv0.11_small",74.7,11.205,74.7,11.205,1,1,1
"pb_mod_orb_str_k_15_d0.20_su0.11_sv0.11_medium",82.9733333333333,12.446,82.9733333333333,12.446,1,1,1
"pb_mod_orb_str_k_15_d0.20_su0.11_sv0.11_large",84.9,12.735,84.9,12.735,1,1,1
"pb_mod_orb_str_k_15_d0.50_su0.01_sv0.01_small",88.1866666666667,13.228,88.1866666666667,13.228,1,1,1
"pb_mod_orb_str_k_15_d0.50_su0.01_sv0.01_medium",96.54,14.481,96.54,14.481,1,1,1
"pb_mod_orb_str_k_15_d0.50_su0.01_sv0.01_large",98.8,14.82,98.8,14.82,1,1,1
"pb_mod_orb_str_k_15_d0.50_su0.01_sv0.06_small",86.8533333333333,13.028,86.8533333333333,13.028,1,1,1
"pb_mod_orb_str_k_15_d0.50_su0.01_sv0.06_medium",95.16,14.274,95.16,14.274,1,1,1
"pb_mod_orb_str_k_15_d0.50_su0.01_sv0.06_large",97.1466666666667,14.572,97.1466666666667,14.572,1,1,1
"pb_mod_orb_str_k_15_d0.50_su0.01_sv0.11_small",86.0066666666667,12.901,86.0066666666667,12.901,1,1,1
"pb_mod_orb_str_k_15_d0.50_su0.01_sv0.11_medium",94.1066666666667,14.116,94.1066666666667,14.116,1,1,1
"pb_mod_orb_str_k_15_d0.50_su0.01_sv0.11_large",95.8066666666667,14.371,95.8066666666667,14.371,1,1,1
"pb_mod_orb_str_k_15_d0.50_su0.06_sv0.01_small",84.08,12.612,84.08,12.612,1,1,1
"pb_mod_orb_str_k_15_d0.50_su0.06_sv0.01_medium",92.1933333333333,13.829,92.1933333333333,13.829,1,1,1
"pb_mod_orb_str_k_15_d0.50_su0.06_sv0.01_large",94.68,14.202,94.68,14.202,1,1,1
"pb_mod_orb_str_k_15_d0.50_su0.06_sv0.06_small",84.5466666666667,12.682,84.5466666666667,12.682,1,1,1
"pb_mod_orb_str_k_15_d0.50_su0.06_sv0.06_medium",91.9066666666667,13.786,91.9066666666667,13.786,1,1,1
"pb_mod_orb_str_k_15_d0.50_su0.06_sv0.06_large",94.1,14.115,94.1,14.115,1,1,1
"pb_mod_orb_str_k_15_d0.50_su0.06_sv0.11_small",83.8933333333333,12.584,83.8933333333333,12.584,1,1,1
"pb_mod_orb_str_k_15_d0.50_su0.06_sv0.11_medium",91.24,13.686,91.24,13.686,1,1,1
"pb_mod_orb_str_k_15_d0.50_su0.06_sv0.11_large",93.4733333333333,14.021,93.4733333333333,14.021,1,1,1
"pb_mod_orb_str_k_15_d0.50_su0.11_sv0.01_small",82.7733333333333,12.416,82.7733333333333,12.416,1,1,1
"pb_mod_orb_str_k_15_d0.50_su0.11_sv0.01_medium",89.8866666666667,13.483,89.8866666666667,13.483,1,1,1
"pb_mod_orb_str_k_15_d0.50_su0.11_sv0.01_large",92.5733333333333,13.886,92.5733333333333,13.886,1,1,1
"pb_mod_orb_str_k_15_d0.50_su0.11_sv0.06_small",83.6466666666667,12.547,83.6466666666667,12.547,1,1,1
"pb_mod_orb_str_k_15_d0.50_su0.11_sv0.06_medium",90.3466666666667,13.552,90.3466666666667,13.552,1,1,1
"pb_mod_orb_str_k_15_d0.50_su0.11_sv0.06_large",92.8666666666667,13.93,92.8666666666667,13.93,1,1,1
"pb_mod_orb_str_k_15_d0.50_su0.11_sv0.11_small",84.06,12.609,84.06,12.609,1,1,1
"pb_mod_orb_str_k_15_d0.50_su0.11_sv0.11_medium",90.4266666666667,13.564,90.4266666666667,13.564,1,1,1
"pb_mod_orb_str_k_15_d0.50_su0.11_sv0.11_large",92.5466666666667,13.882,92.5466666666667,13.882,1,1,1
"pb_mod_orb_str_k_15_d0.80_su0.01_sv0.01_small",97.3266666666667,14.599,97.3266666666667,14.599,1,1,1
"pb_mod_orb_str_k_15_d0.80_su0.01_sv0.01_medium",99.78,14.967,99.78,14.967,1,1,1
"pb_mod_orb_str_k_15_d0.80_su0.01_sv0.01_large",99.9133333333333,14.987,99.9133333333333,14.987,1,1,1
"pb_mod_orb_str_k_15_d0.80_su0.01_sv0.06_small",96.92,14.538,96.92,14.538,1,1,1
"pb_mod_orb_str_k_15_d0.80_su0.01_sv0.06_medium",99.6533333333333,14.948,99.6533333333333,14.948,1,1,1
"pb_mod_orb_str_k_15_d0.80_su0.01_sv0.06_large",99.8666666666667,14.98,99.8666666666667,14.98,1,1,1
"pb_mod_orb_str_k_15_d0.80_su0.01_sv0.11_small",96.3733333333333,14.456,96.3733333333333,14.456,1,1,1
"pb_mod_orb_str_k_15_d0.80_su0.01_sv0.11_medium",99.3133333333333,14.897,99.3133333333333,14.897,1,1,1
"pb_mod_orb_str_k_15_d0.80_su0.01_sv0.11_large",99.6333333333333,14.945,99.6333333333333,14.945,1,1,1
"pb_mod_orb_str_k_15_d0.80_su0.06_sv0.01_small",95.44,14.316,95.44,14.316,1,1,1
"pb_mod_orb_str_k_15_d0.80_su0.06_sv0.01_medium",98.6866666666667,14.803,98.6866666666667,14.803,1,1,1
"pb_mod_orb_str_k_15_d0.80_su0.06_sv0.01_large",99.4466666666667,14.917,99.4466666666667,14.917,1,1,1
"pb_mod_orb_str_k_15_d0.80_su0.06_sv0.06_small",94.8866666666667,14.233,94.8866666666667,14.233,1,1,1
"pb_mod_orb_str_k_15_d0.80_su0.06_sv0.06_medium",98.4133333333333,14.762,98.4133333333333,14.762,1,1,1
"pb_mod_orb_str_k_15_d0.80_su0.06_sv0.06_large",99.0533333333333,14.858,99.0533333333333,14.858,1,1,1
"pb_mod_orb_str_k_15_d0.80_su0.06_sv0.11_small",94.5,14.175,94.5,14.175,1,1,1
"pb_mod_orb_str_k_15_d0.80_su0.06_sv0.11_medium",97.7533333333333,14.663,97.7533333333333,14.663,1,1,1
"pb_mod_orb_str_k_15_d0.80_su0.06_sv0.11_large",98.6466666666667,14.797,98.6466666666667,14.797,1,1,1
"pb_mod_orb_str_k_15_d0.80_su0.11_sv0.01_small",93.4266666666667,14.014,93.4266666666667,14.014,1,1,1
"pb_mod_orb_str_k_15_d0.80_su0.11_sv0.01_medium",97.4066666666667,14.611,97.4066666666667,14.611,1,1,1
"pb_mod_orb_str_k_15_d0.80_su0.11_sv0.01_large",98.28,14.742,98.28,14.742,1,1,1
"pb_mod_orb_str_k_15_d0.80_su0.11_sv0.06_small",93.22,13.983,93.22,13.983,1,1,1
"pb_mod_orb_str_k_15_d0.80_su0.11_sv0.06_medium",97.0066666666667,14.551,97.0066666666667,14.551,1,1,1
"pb_mod_orb_str_k_15_d0.80_su0.11_sv0.06_large",97.8266666666667,14.674,97.8266666666667,14.674,1,1,1
"pb_mod_orb_str_k_15_d0.80_su0.11_sv0.11_small",92.8466666666667,13.927,92.8466666666667,13.927,1,1,1
"pb_mod_orb_str_k_15_d0.80_su0.11_sv0.11_medium",96.46,14.469,96.46,14.469,1,1,1
"pb_mod_orb_str_k_15_d0.80_su0.11_sv0.11_large",97.56,14.634,97.56,14.634,1,1,1
"pb_mod_orb_str_k_30_d0.00_su0.01_sv0.01_small",53.4,16.02,53.4,16.02,1,1,1
"pb_mod_orb_str_k_30_d0.00_su0.01_sv0.01_medium",60.0333333333333,18.01,60.0333333333333,18.01,1,1,1
"pb_mod_orb_str_k_30_d0.00_su0.01_sv0.01_large",63.76,19.128,63.76,19.128,1,1,1
"pb_mod_orb_str_k_30_d0.00_su0.01_sv0.06_small",59.7266666666667,17.918,59.7266666666667,17.918,1,1,1
"pb_mod_orb_str_k_30_d0.00_su0.01_sv0.06_medium",67.65,20.295,67.65,20.295,1,1,1
"pb_mod_orb_str_k_30_d0.00_su0.01_sv0.06_large",71.52,21.456,71.52,21.456,1,1,1
"pb_mod_orb_str_k_30_d0.00_su0.01_sv0.11_small",63.23,18.969,63.23,18.969,1,1,1
"pb_mod_orb_str_k_30_d0.00_su0.01_sv0.11_medium",71.0433333333333,21.313,71.0433333333333,21.313,1,1,1
"pb_mod_orb_str_k_30_d0.00_su0.01_sv0.11_large",74.3833333333333,22.315,74.3833333333333,22.315,1,1,1
"pb_mod_orb_str_k_30_d0.00_su0.06_sv0.01_small",62.4566666666667,18.737,62.4566666666667,18.737,1,1,1
"pb_mod_orb_str_k_30_d0.00_su0.06_sv0.01_medium",72.35,21.705,72.35,21.705,1,1,1
"pb_mod_orb_str_k_30_d0.00_su0.06_sv0.01_large",77.25,23.175,77.25,23.175,1,1,1
