"id","avg_perc_out_selected","avg_num_out_selected","avg_perc_stud_selected","avg_num_study_selected","avg_avg_n_out_per_study","avg_min_n_out_per_study","avg_max_n_out_per_study"
"pb_no_orb_mod_k_15_d0.00_su0.01_sv0.01_small",54.7911111111111,24.656,90.4866666666667,13.573,1.81653285880786,1.005,2.941
"pb_no_orb_mod_k_15_d0.00_su0.01_sv0.01_medium",58.8911111111111,26.501,92.5933333333333,13.889,1.90781776001776,1.01,2.967
"pb_no_orb_mod_k_15_d0.00_su0.01_sv0.01_large",61.6644444444444,27.749,94.08,14.112,1.96675123210123,1.006,2.982
"pb_no_orb_mod_k_15_d0.00_su0.01_sv0.06_small",60.1955555555556,27.088,93.4,14.01,1.93425775890776,1.006,2.977
"pb_no_orb_mod_k_15_d0.00_su0.01_sv0.06_medium",67.46,30.357,96.2933333333333,14.444,2.10210652680653,1.02,2.997
"pb_no_orb_mod_k_15_d0.00_su0.01_sv0.06_large",71.56,32.202,97.48,14.622,2.20228025308025,1.05,2.998
"pb_no_orb_mod_k_15_d0.00_su0.01_sv0.11_small",63.8488888888889,28.732,95.04,14.256,2.01596475191475,1.02,2.993
"pb_no_orb_mod_k_15_d0.00_su0.01_sv0.11_medium",72.3333333333333,32.55,97.7266666666667,14.659,2.22042191142191,1.043,2.999
"pb_no_orb_mod_k_15_d0.00_su0.01_sv0.11_large",76.4444444444444,34.4,98.4333333333333,14.765,2.32985824175824,1.107,2.999
"pb_no_orb_mod_k_15_d0.00_su0.06_sv0.01_small",60.1977777777778,27.089,92.9066666666667,13.936,1.94430612720613,1.003,2.981
"pb_no_orb_mod_k_15_d0.00_su0.06_sv0.01_medium",67.3222222222222,30.295,95.1666666666667,14.275,2.1222824009324,1.023,2.998
"pb_no_orb_mod_k_15_d0.00_su0.06_sv0.01_large",71.5644444444444,32.204,96.0666666666667,14.41,2.23468181818182,1.045,2.998
"pb_no_orb_mod_k_15_d0.00_su0.06_sv0.06_small",63.6111111111111,28.625,94.7466666666667,14.212,2.01435890775891,1.005,2.988
"pb_no_orb_mod_k_15_d0.00_su0.06_sv0.06_medium",72.1911111111111,32.486,97.2466666666667,14.587,2.22747124542125,1.053,3
"pb_no_orb_mod_k_15_d0.00_su0.06_sv0.06_large",76.3866666666667,34.374,98.1666666666667,14.725,2.33443021978022,1.108,3
"pb_no_orb_mod_k_15_d0.00_su0.06_sv0.11_small",66.5822222222222,29.962,95.76,14.364,2.08623992673993,1.014,2.993
"pb_no_orb_mod_k_15_d0.00_su0.06_sv0.11_medium",75.4977777777778,33.974,98.2333333333333,14.735,2.30562582417582,1.087,3
"pb_no_orb_mod_k_15_d0.00_su0.06_sv0.11_large",79.2288888888889,35.653,98.8133333333333,14.822,2.40527802197802,1.179,3
"pb_no_orb_mod_k_15_d0.00_su0.11_sv0.01_small",63.9044444444444,28.757,93.8066666666667,14.071,2.04495149295149,1.012,2.996
"pb_no_orb_mod_k_15_d0.00_su0.11_sv0.01_medium",71.8111111111111,32.315,96.1133333333333,14.417,2.24150031635032,1.036,3
"pb_no_orb_mod_k_15_d0.00_su0.11_sv0.01_large",76.1355555555556,34.261,96.8866666666667,14.533,2.35773131868132,1.079,3
"pb_no_orb_mod_k_15_d0.00_su0.11_sv0.06_small",66.6355555555556,29.986,95.5533333333333,14.333,2.09191047286047,1.017,2.993
"pb_no_orb_mod_k_15_d0.00_su0.11_sv0.06_medium",75.2955555555556,33.883,97.7533333333333,14.663,2.31067545787546,1.096,3
"pb_no_orb_mod_k_15_d0.00_su0.11_sv0.06_large",79.2955555555556,35.683,98.6066666666667,14.791,2.41247637362637,1.154,3
"pb_no_orb_mod_k_15_d0.00_su0.11_sv0.11_small",68.8688888888889,30.991,96.4933333333333,14.474,2.14132815517816,1.024,2.999
"pb_no_orb_mod_k_15_d0.00_su0.11_sv0.11_medium",77.62,34.929,98.38,14.757,2.36707600732601,1.16,3
"pb_no_orb_mod_k_15_d0.00_su0.11_sv0.11_large",81.3155555555556,36.592,99.1066666666667,14.866,2.46132710622711,1.231,3
"pb_no_orb_mod_k_15_d0.20_su0.01_sv0.01_small",59.7466666666667,26.886,93.0133333333333,13.952,1.92730999000999,1.007,2.975
"pb_no_orb_mod_k_15_d0.20_su0.01_sv0.01_medium",67.2533333333333,30.264,95.66,14.349,2.10939142524143,1.031,2.998
"pb_no_orb_mod_k_15_d0.20_su0.01_sv0.01_large",72.4555555555555,32.605,97.0266666666667,14.554,2.24003523143523,1.068,3
"pb_no_orb_mod_k_15_d0.20_su0.01_sv0.06_small",63.3555555555556,28.51,94.78,14.217,2.00508023643024,1.007,2.993
"pb_no_orb_mod_k_15_d0.20_su0.01_sv0.06_medium",71.48,32.166,97.2866666666667,14.593,2.20465073260073,1.054,3
"pb_no_orb_mod_k_15_d0.20_su0.01_sv0.06_large",76.3222222222222,34.345,98.4466666666667,14.767,2.32577252747253,1.107,3
"pb_no_orb_mod_k_15_d0.20_su0.01_sv0.11_small",66.1977777777778,29.789,95.8066666666667,14.371,2.07289204129204,1.021,2.998
"pb_no_orb_mod_k_15_d0.20_su0.01_sv0.11_medium",74.6422222222222,33.589,98.2,14.73,2.2803532967033,1.081,3
"pb_no_orb_mod_k_15_d0.20_su0.01_sv0.11_large",79.1533333333333,35.619,99.1066666666667,14.866,2.39627326007326,1.17,3
"pb_no_orb_mod_k_15_d0.20_su0.06_sv0.01_small",63.6088888888889,28.624,93.94,14.091,2.03103578088578,1.015,2.993
"pb_no_orb_mod_k_15_d0.20_su0.06_sv0.01_medium",71.9333333333333,32.37,96.3066666666667,14.446,2.24090837495838,1.049,2.999
"pb_no_orb_mod_k_15_d0.20_su0.06_sv0.01_large",76.44,34.398,97.22,14.583,2.35878553113553,1.089,3
"pb_no_orb_mod_k_15_d0.20_su0.06_sv0.06_small",66.1311111111111,29.759,95.4133333333333,14.312,2.07971563436563,1.02,2.997
"pb_no_orb_mod_k_15_d0.20_su0.06_sv0.06_medium",74.7977777777778,33.659,97.68,14.652,2.2970619047619,1.092,3
"pb_no_orb_mod_k_15_d0.20_su0.06_sv0.06_large",79.1733333333333,35.628,98.7333333333333,14.81,2.40550714285714,1.143,2.999
"pb_no_orb_mod_k_15_d0.20_su0.06_sv0.11_small",68.4044444444444,30.782,96.28,14.442,2.13155088245088,1.034,2.999
"pb_no_orb_mod_k_15_d0.20_su0.06_sv0.11_medium",77.1133333333333,34.701,98.4466666666667,14.767,2.34988351648352,1.128,3
"pb_no_orb_mod_k_15_d0.20_su0.06_sv0.11_large",81.1888888888889,36.535,99.0933333333333,14.864,2.45773846153846,1.228,3
"pb_no_orb_mod_k_15_d0.20_su0.11_sv0.01_small",66.4511111111111,29.903,94.7133333333333,14.207,2.10418857808858,1.019,2.998
"pb_no_orb_mod_k_15_d0.20_su0.11_sv0.01_medium",74.9155555555556,33.712,96.7,14.505,2.32408827838828,1.081,3
"pb_no_orb_mod_k_15_d0.20_su0.11_sv0.01_large",79.0755555555556,35.584,97.7,14.655,2.42805805860806,1.118,3
"pb_no_orb_mod_k_15_d0.20_su0.11_sv0.06_small",68.48,30.816,95.9333333333333,14.39,2.14186112221112,1.027,2.998
"pb_no_orb_mod_k_15_d0.20_su0.11_sv0.06_medium",77.0288888888889,34.663,98.0733333333333,14.711,2.35604304029304,1.099,3
"pb_no_orb_mod_k_15_d0.20_su0.11_sv0.06_large",81.1644444444444,36.524,98.7066666666667,14.806,2.46664945054945,1.201,3
"pb_no_orb_mod_k_15_d0.20_su0.11_sv0.11_small",70.3133333333333,31.641,96.62,14.493,2.18346543456543,1.045,2.998
"pb_no_orb_mod_k_15_d0.20_su0.11_sv0.11_medium",78.7888888888889,35.455,98.5533333333333,14.783,2.39811886446886,1.161,3
"pb_no_orb_mod_k_15_d0.20_su0.11_sv0.11_large",82.6622222222222,37.198,99.12,14.868,2.5018347985348,1.266,3
"pb_no_orb_mod_k_15_d0.50_su0.01_sv0.01_small",77.3266666666667,34.797,98.2733333333333,14.741,2.3604880952381,1.131,3
"pb_no_orb_mod_k_15_d0.50_su0.01_sv0.01_medium",89.8311111111111,40.424,99.7,14.955,2.70300732600733,1.57,3
"pb_no_orb_mod_k_15_d0.50_su0.01_sv0.01_large",94.4511111111111,42.503,99.9133333333333,14.987,2.83602857142857,1.878,3
"pb_no_orb_mod_k_15_d0.50_su0.01_sv0.06_small",76.3377777777778,34.352,98.2133333333333,14.732,2.33178681318681,1.126,2.999
"pb_no_orb_mod_k_15_d0.50_su0.01_sv0.06_medium",86.3377777777778,38.852,99.6,14.94,2.60051428571429,1.417,3
"pb_no_orb_mod_k_15_d0.50_su0.01_sv0.06_large",90.5133333333333,40.731,99.8133333333333,14.972,2.72051428571429,1.652,3
"pb_no_orb_mod_k_15_d0.50_su0.01_sv0.11_small",76.4555555555555,34.405,98.3533333333333,14.753,2.33189065934066,1.141,2.999
"pb_no_orb_mod_k_15_d0.50_su0.01_sv0.11_medium",85.2,38.34,99.5133333333333,14.927,2.56843882783883,1.392,3
"pb_no_orb_mod_k_15_d0.50_su0.01_sv0.11_large",88.8088888888889,39.964,99.8066666666667,14.971,2.6695,1.573,3
"pb_no_orb_mod_k_15_d0.50_su0.06_sv0.01_small",76.4955555555556,34.423,97.44,14.616,2.35521581751582,1.11,3
"pb_no_orb_mod_k_15_d0.50_su0.06_sv0.01_medium",86.32,38.844,98.8,14.82,2.620713003663,1.322,3
"pb_no_orb_mod_k_15_d0.50_su0.06_sv0.01_large",90.4044444444444,40.682,99.14,14.871,2.73579194139194,1.494,3
"pb_no_orb_mod_k_15_d0.50_su0.06_sv0.06_small",76.46,34.407,97.7533333333333,14.663,2.34646923076923,1.118,3
"pb_no_orb_mod_k_15_d0.50_su0.06_sv0.06_medium",85.0933333333333,38.292,99.0933333333333,14.864,2.57592124542125,1.326,3
"pb_no_orb_mod_k_15_d0.50_su0.06_sv0.06_large",88.8177777777778,39.968,99.5866666666667,14.938,2.6756380952381,1.468,3
