"id","avg_perc_out_selected","avg_num_out_selected","avg_perc_stud_selected","avg_num_study_selected","avg_avg_n_out_per_study","avg_min_n_out_per_study","avg_max_n_out_per_study"
"pb_no_orb_str_k_15_d0.00_su0.01_sv0.01_small",37.8355555555556,17.026,75.5666666666667,11.335,1.50268454878455,1,2.587
"pb_no_orb_str_k_15_d0.00_su0.01_sv0.01_medium",42.8088888888889,19.264,80.6,12.09,1.59290994283494,1,2.702
"pb_no_orb_str_k_15_d0.00_su0.01_sv0.01_large",46.7844444444444,21.053,84.28,12.642,1.66497476967477,1.001,2.816
"pb_no_orb_str_k_15_d0.00_su0.01_sv0.06_small",44.8111111111111,20.165,82.92,12.438,1.62187323509823,1,2.784
"pb_no_orb_str_k_15_d0.00_su0.01_sv0.06_medium",54.2066666666667,24.393,89.6866666666667,13.453,1.81437237762238,1.001,2.939
"pb_no_orb_str_k_15_d0.00_su0.01_sv0.06_large",59.8355555555556,26.926,92.9266666666667,13.939,1.9324624042624,1.007,2.977
"pb_no_orb_str_k_15_d0.00_su0.01_sv0.11_small",49.78,22.401,86.9933333333333,13.049,1.71714426406926,1,2.877
"pb_no_orb_str_k_15_d0.00_su0.01_sv0.11_medium",60.4844444444444,27.218,93.36,14.004,1.9442695970696,1.001,2.982
"pb_no_orb_str_k_15_d0.00_su0.01_sv0.11_large",66.3577777777778,29.861,95.7,14.355,2.07983882783883,1.021,2.994
"pb_no_orb_str_k_15_d0.00_su0.06_sv0.01_small",44.4533333333333,20.004,81,12.15,1.64616481851482,1.001,2.818
"pb_no_orb_str_k_15_d0.00_su0.06_sv0.01_medium",54.3622222222222,24.463,87.2533333333333,13.088,1.86964162504163,1.001,2.966
"pb_no_orb_str_k_15_d0.00_su0.06_sv0.01_large",59.9444444444444,26.975,89.9133333333333,13.487,2.00017229437229,1.004,2.989
"pb_no_orb_str_k_15_d0.00_su0.06_sv0.06_small",49.8422222222222,22.429,86.1066666666667,12.916,1.73698976301476,1.003,2.894
"pb_no_orb_str_k_15_d0.00_su0.06_sv0.06_medium",60.6822222222222,27.307,92.3733333333333,13.856,1.97109171939172,1.004,2.991
"pb_no_orb_str_k_15_d0.00_su0.06_sv0.06_large",66.5355555555555,29.941,95.16,14.274,2.09770244755245,1.017,2.999
"pb_no_orb_str_k_15_d0.00_su0.06_sv0.11_small",53.4133333333333,24.036,88.8866666666667,13.333,1.80290352980353,1,2.943
"pb_no_orb_str_k_15_d0.00_su0.06_sv0.11_medium",64.9422222222222,29.224,94.76,14.214,2.05647424242424,1.012,2.994
"pb_no_orb_str_k_15_d0.00_su0.06_sv0.11_large",70.2666666666667,31.62,96.7933333333333,14.519,2.17776891441891,1.038,2.999
"pb_no_orb_str_k_15_d0.00_su0.11_sv0.01_small",49.46,22.257,84.0333333333333,12.605,1.76613701298701,1.002,2.926
"pb_no_orb_str_k_15_d0.00_su0.11_sv0.01_medium",60.5266666666667,27.237,89.4266666666667,13.414,2.03065478410478,1.009,2.995
"pb_no_orb_str_k_15_d0.00_su0.11_sv0.01_large",66.6133333333333,29.976,91.9333333333333,13.79,2.1741332001332,1.019,2.999
"pb_no_orb_str_k_15_d0.00_su0.11_sv0.06_small",53.4177777777778,24.038,88.0066666666667,13.201,1.82188178210678,1.002,2.948
"pb_no_orb_str_k_15_d0.00_su0.11_sv0.06_medium",64.8777777777778,29.195,93.6466666666667,14.047,2.07835597735598,1.018,2.998
"pb_no_orb_str_k_15_d0.00_su0.11_sv0.06_large",70.4288888888889,31.693,96.0666666666667,14.41,2.19970799200799,1.042,2.999
"pb_no_orb_str_k_15_d0.00_su0.11_sv0.11_small",56.5133333333333,25.431,90.3733333333333,13.556,1.87683031968032,1.003,2.973
"pb_no_orb_str_k_15_d0.00_su0.11_sv0.11_medium",68.0733333333333,30.633,95.36,14.304,2.14119823509824,1.026,3
"pb_no_orb_str_k_15_d0.00_su0.11_sv0.11_large",73.2355555555555,32.956,97.3133333333333,14.597,2.25769562104562,1.066,3
"pb_no_orb_str_k_15_d0.20_su0.01_sv0.01_small",44.06,19.827,81.5,12.225,1.6220723026973,1,2.78
"pb_no_orb_str_k_15_d0.20_su0.01_sv0.01_medium",54.2111111111111,24.395,88.2266666666667,13.234,1.84328425740926,1.002,2.947
"pb_no_orb_str_k_15_d0.20_su0.01_sv0.01_large",61.3955555555556,27.628,91.8066666666667,13.771,2.00628031968032,1.014,2.993
"pb_no_orb_str_k_15_d0.20_su0.01_sv0.06_small",48.8844444444444,21.998,85.9933333333333,12.899,1.70530651570652,1,2.871
"pb_no_orb_str_k_15_d0.20_su0.01_sv0.06_medium",60.0266666666667,27.012,92.68,13.902,1.94294116439116,1.008,2.982
"pb_no_orb_str_k_15_d0.20_su0.01_sv0.06_large",66.5288888888889,29.938,95.3933333333333,14.309,2.09269713619714,1.014,2.996
"pb_no_orb_str_k_15_d0.20_su0.01_sv0.11_small",52.6155555555556,23.677,88.6333333333333,13.295,1.78185270840271,1.002,2.926
"pb_no_orb_str_k_15_d0.20_su0.01_sv0.11_medium",64.3022222222222,28.936,94.7866666666667,14.218,2.03517882117882,1.011,2.993
"pb_no_orb_str_k_15_d0.20_su0.01_sv0.11_large",70.4911111111111,31.721,96.9866666666667,14.548,2.18084187479187,1.054,2.998
"pb_no_orb_str_k_15_d0.20_su0.06_sv0.01_small",49.1288888888889,22.108,83.9866666666667,12.598,1.75574082029082,1.001,2.918
"pb_no_orb_str_k_15_d0.20_su0.06_sv0.01_medium",60.0066666666667,27.003,89.84,13.476,2.00313432678433,1.006,2.992
"pb_no_orb_str_k_15_d0.20_su0.06_sv0.01_large",66.7777777777778,30.05,92.7266666666667,13.909,2.1598546953047,1.017,2.999
"pb_no_orb_str_k_15_d0.20_su0.06_sv0.06_small",52.6777777777778,23.705,87.8533333333333,13.178,1.79959104506605,1.002,2.937
"pb_no_orb_str_k_15_d0.20_su0.06_sv0.06_medium",64.2933333333333,28.932,93.7133333333333,14.057,2.05842395937396,1.018,2.995
"pb_no_orb_str_k_15_d0.20_su0.06_sv0.06_large",70.6044444444444,31.772,96,14.4,2.20633383283383,1.041,2.999
"pb_no_orb_str_k_15_d0.20_su0.06_sv0.11_small",55.5555555555556,25,90.26,13.539,1.84645687090687,1.003,2.962
"pb_no_orb_str_k_15_d0.20_su0.06_sv0.11_medium",67.6088888888889,30.424,95.6266666666667,14.344,2.12068643023643,1.026,2.999
"pb_no_orb_str_k_15_d0.20_su0.06_sv0.11_large",73.5488888888889,33.097,97.4,14.61,2.26538235098235,1.07,2.998
"pb_no_orb_str_k_15_d0.20_su0.11_sv0.01_small",52.9644444444444,23.834,85.7666666666667,12.865,1.85209656177156,1.004,2.962
"pb_no_orb_str_k_15_d0.20_su0.11_sv0.01_medium",64.3844444444444,28.973,91.14,13.671,2.11883078865579,1.013,2.997
"pb_no_orb_str_k_15_d0.20_su0.11_sv0.01_large",70.6311111111111,31.784,93.5733333333333,14.036,2.26425982350982,1.031,3
"pb_no_orb_str_k_15_d0.20_su0.11_sv0.06_small",55.7288888888889,25.078,89.28,13.392,1.87344468031968,1.009,2.968
"pb_no_orb_str_k_15_d0.20_su0.11_sv0.06_medium",67.7244444444444,30.476,94.5666666666667,14.185,2.14844706959707,1.028,2.999
"pb_no_orb_str_k_15_d0.20_su0.11_sv0.06_large",73.5533333333333,33.099,96.5266666666667,14.479,2.28555128205128,1.069,2.999
"pb_no_orb_str_k_15_d0.20_su0.11_sv0.11_small",58.04,26.118,91.18,13.677,1.91007312687313,1.006,2.975
"pb_no_orb_str_k_15_d0.20_su0.11_sv0.11_medium",70.0822222222222,31.537,96.18,14.427,2.18588041958042,1.043,3
"pb_no_orb_str_k_15_d0.20_su0.11_sv0.11_large",75.6511111111111,34.043,97.58,14.637,2.32550769230769,1.103,2.999
"pb_no_orb_str_k_15_d0.50_su0.01_sv0.01_small",67.1377777777778,30.212,95.0333333333333,14.255,2.1188472027972,1.026,2.999
"pb_no_orb_str_k_15_d0.50_su0.01_sv0.01_medium",84.84,38.178,98.94,14.841,2.57230402930403,1.313,3
"pb_no_orb_str_k_15_d0.50_su0.01_sv0.01_large",91.4422222222222,41.149,99.6733333333333,14.951,2.75240952380952,1.626,3
"pb_no_orb_str_k_15_d0.50_su0.01_sv0.06_small",66.4911111111111,29.921,95.1466666666667,14.272,2.09572807192807,1.019,2.997
"pb_no_orb_str_k_15_d0.50_su0.01_sv0.06_medium",80.3688888888889,36.166,98.7,14.805,2.4426880952381,1.204,3
"pb_no_orb_str_k_15_d0.50_su0.01_sv0.06_large",86.1133333333333,38.751,99.4733333333333,14.921,2.59705604395604,1.422,3
"pb_no_orb_str_k_15_d0.50_su0.01_sv0.11_small",66.5266666666667,29.937,95.38,14.307,2.09140927405927,1.028,2.994
"pb_no_orb_str_k_15_d0.50_su0.01_sv0.11_medium",78.7911111111111,35.456,98.6666666666667,14.8,2.3955706959707,1.187,3
"pb_no_orb_str_k_15_d0.50_su0.01_sv0.11_large",83.92,37.764,99.36,14.904,2.53378901098901,1.325,3
"pb_no_orb_str_k_15_d0.50_su0.06_sv0.01_small",66.3844444444444,29.873,92.66,13.899,2.14908061938062,1.022,2.999
"pb_no_orb_str_k_15_d0.50_su0.06_sv0.01_medium",80.3466666666667,36.156,96.7666666666667,14.515,2.49072307692308,1.154,3
"pb_no_orb_str_k_15_d0.50_su0.06_sv0.01_large",85.9533333333333,38.679,97.6933333333333,14.654,2.639663003663,1.306,3
