"id","avg_perc_out_selected","avg_num_out_selected","avg_perc_stud_selected","avg_num_study_selected","avg_avg_n_out_per_study","avg_min_n_out_per_study","avg_max_n_out_per_study"
"pb_str_orb_mod_k_15_d0.00_su0.01_sv0.01_small",38.8466666666667,5.827,38.8466666666667,5.827,0.999,0.999,0.999
"pb_str_orb_mod_k_15_d0.00_su0.01_sv0.01_medium",45.0866666666667,6.763,45.0866666666667,6.763,1,1,1
"pb_str_orb_mod_k_15_d0.00_su0.01_sv0.01_large",49.2266666666667,7.384,49.2266666666667,7.384,1,1,1
"pb_str_orb_mod_k_15_d0.00_su0.01_sv0.06_small",43.5,6.525,43.5,6.525,1,1,1
"pb_str_orb_mod_k_15_d0.00_su0.01_sv0.06_medium",52.0933333333333,7.814,52.0933333333333,7.814,1,1,1
"pb_str_orb_mod_k_15_d0.00_su0.01_sv0.06_large",57.7666666666667,8.665,57.7666666666667,8.665,1,1,1
"pb_str_orb_mod_k_15_d0.00_su0.01_sv0.11_small",47.0266666666667,7.054,47.0266666666667,7.054,1,1,1
"pb_str_orb_mod_k_15_d0.00_su0.01_sv0.11_medium",56.2733333333333,8.441,56.2733333333333,8.441,1,1,1
"pb_str_orb_mod_k_15_d0.00_su0.01_sv0.11_large",62.06,9.309,62.06,9.309,1,1,1
"pb_str_orb_mod_k_15_d0.00_su0.06_sv0.01_small",49.5666666666667,7.435,49.5666666666667,7.435,1,1,1
"pb_str_orb_mod_k_15_d0.00_su0.06_sv0.01_medium",60.8,9.12,60.8,9.12,1,1,1
"pb_str_orb_mod_k_15_d0.00_su0.06_sv0.01_large",67.4,10.11,67.4,10.11,1,1,1
"pb_str_orb_mod_k_15_d0.00_su0.06_sv0.06_small",52.66,7.899,52.66,7.899,1,1,1
"pb_str_orb_mod_k_15_d0.00_su0.06_sv0.06_medium",63.36,9.504,63.36,9.504,1,1,1
"pb_str_orb_mod_k_15_d0.00_su0.06_sv0.06_large",69.4266666666667,10.414,69.4266666666667,10.414,1,1,1
"pb_str_orb_mod_k_15_d0.00_su0.06_sv0.11_small",54.4733333333333,8.171,54.4733333333333,8.171,1,1,1
"pb_str_orb_mod_k_15_d0.00_su0.06_sv0.11_medium",64.96,9.744,64.96,9.744,1,1,1
"pb_str_orb_mod_k_15_d0.00_su0.06_sv0.11_large",70.2266666666667,10.534,70.2266666666667,10.534,1,1,1
"pb_str_orb_mod_k_15_d0.00_su0.11_sv0.01_small",55.78,8.367,55.78,8.367,1,1,1
"pb_str_orb_mod_k_15_d0.00_su0.11_sv0.01_medium",67.8266666666667,10.174,67.8266666666667,10.174,1,1,1
"pb_str_orb_mod_k_15_d0.00_su0.11_sv0.01_large",73.8533333333333,11.078,73.8533333333333,11.078,1,1,1
"pb_str_orb_mod_k_15_d0.00_su0.11_sv0.06_small",58.2066666666667,8.731,58.2066666666667,8.731,1,1,1
"pb_str_orb_mod_k_15_d0.00_su0.11_sv0.06_medium",69.1133333333333,10.367,69.1133333333333,10.367,1,1,1
"pb_str_orb_mod_k_15_d0.00_su0.11_sv0.06_large",74.9266666666667,11.239,74.9266666666667,11.239,1,1,1
"pb_str_orb_mod_k_15_d0.00_su0.11_sv0.11_small",59.6733333333333,8.951,59.6733333333333,8.951,1,1,1
"pb_str_orb_mod_k_15_d0.00_su0.11_sv0.11_medium",70.0933333333333,10.514,70.0933333333333,10.514,1,1,1
"pb_str_orb_mod_k_15_d0.00_su0.11_sv0.11_large",75.6466666666667,11.347,75.6466666666667,11.347,1,1,1
"pb_str_orb_mod_k_15_d0.20_su0.01_sv0.01_small",49.2533333333333,7.388,49.2533333333333,7.388,1,1,1
"pb_str_orb_mod_k_15_d0.20_su0.01_sv0.01_medium",63.2066666666667,9.481,63.2066666666667,9.481,1,1,1
"pb_str_orb_mod_k_15_d0.20_su0.01_sv0.01_large",71.56,10.734,71.56,10.734,1,1,1
"pb_str_orb_mod_k_15_d0.20_su0.01_sv0.06_small",51.96,7.794,51.96,7.794,1,1,1
"pb_str_orb_mod_k_15_d0.20_su0.01_sv0.06_medium",64.1266666666667,9.619,64.1266666666667,9.619,1,1,1
"pb_str_orb_mod_k_15_d0.20_su0.01_sv0.06_large",70.6933333333333,10.604,70.6933333333333,10.604,1,1,1
"pb_str_orb_mod_k_15_d0.20_su0.01_sv0.11_small",53.8666666666667,8.08,53.8666666666667,8.08,1,1,1
"pb_str_orb_mod_k_15_d0.20_su0.01_sv0.11_medium",65.6533333333333,9.848,65.6533333333333,9.848,1,1,1
"pb_str_orb_mod_k_15_d0.20_su0.01_sv0.11_large",70.54,10.581,70.54,10.581,1,1,1
"pb_str_orb_mod_k_15_d0.20_su0.06_sv0.01_small",56.1866666666667,8.428,56.1866666666667,8.428,1,1,1
"pb_str_orb_mod_k_15_d0.20_su0.06_sv0.01_medium",67.5866666666667,10.138,67.5866666666667,10.138,1,1,1
"pb_str_orb_mod_k_15_d0.20_su0.06_sv0.01_large",73.5,11.025,73.5,11.025,1,1,1
"pb_str_orb_mod_k_15_d0.20_su0.06_sv0.06_small",57.5866666666667,8.638,57.5866666666667,8.638,1,1,1
"pb_str_orb_mod_k_15_d0.20_su0.06_sv0.06_medium",69.1666666666667,10.375,69.1666666666667,10.375,1,1,1
"pb_str_orb_mod_k_15_d0.20_su0.06_sv0.06_large",74.3,11.145,74.3,11.145,1,1,1
"pb_str_orb_mod_k_15_d0.20_su0.06_sv0.11_small",58.8533333333333,8.828,58.8533333333333,8.828,1,1,1
"pb_str_orb_mod_k_15_d0.20_su0.06_sv0.11_medium",70.0266666666667,10.504,70.0266666666667,10.504,1,1,1
"pb_str_orb_mod_k_15_d0.20_su0.06_sv0.11_large",74.5466666666667,11.182,74.5466666666667,11.182,1,1,1
"pb_str_orb_mod_k_15_d0.20_su0.11_sv0.01_small",59.38,8.907,59.38,8.907,1,1,1
"pb_str_orb_mod_k_15_d0.20_su0.11_sv0.01_medium",72.3066666666667,10.846,72.3066666666667,10.846,1,1,1
"pb_str_orb_mod_k_15_d0.20_su0.11_sv0.01_large",77.64,11.646,77.64,11.646,1,1,1
"pb_str_orb_mod_k_15_d0.20_su0.11_sv0.06_small",61.42,9.213,61.42,9.213,1,1,1
"pb_str_orb_mod_k_15_d0.20_su0.11_sv0.06_medium",72.6,10.89,72.6,10.89,1,1,1
"pb_str_orb_mod_k_15_d0.20_su0.11_sv0.06_large",77.3466666666667,11.602,77.3466666666667,11.602,1,1,1
"pb_str_orb_mod_k_15_d0.20_su0.11_sv0.11_small",62.9066666666667,9.436,62.9066666666667,9.436,1,1,1
"pb_str_orb_mod_k_15_d0.20_su0.11_sv0.11_medium",73.56,11.034,73.56,11.034,1,1,1
"pb_str_orb_mod_k_15_d0.20_su0.11_sv0.11_large",77.1,11.565,77.1,11.565,1,1,1
"pb_str_orb_mod_k_15_d0.50_su0.01_sv0.01_small",80.0666666666667,12.01,80.0666666666667,12.01,1,1,1
"pb_str_orb_mod_k_15_d0.50_su0.01_sv0.01_medium",93.92,14.088,93.92,14.088,1,1,1
"pb_str_orb_mod_k_15_d0.50_su0.01_sv0.01_large",97.6733333333333,14.651,97.6733333333333,14.651,1,1,1
"pb_str_orb_mod_k_15_d0.50_su0.01_sv0.06_small",79.2266666666667,11.884,79.2266666666667,11.884,1,1,1
"pb_str_orb_mod_k_15_d0.50_su0.01_sv0.06_medium",91.7266666666667,13.759,91.7266666666667,13.759,1,1,1
"pb_str_orb_mod_k_15_d0.50_su0.01_sv0.06_large",95.3266666666667,14.299,95.3266666666667,14.299,1,1,1
"pb_str_orb_mod_k_15_d0.50_su0.01_sv0.11_small",78.0133333333333,11.702,78.0133333333333,11.702,1,1,1
"pb_str_orb_mod_k_15_d0.50_su0.01_sv0.11_medium",89.6866666666667,13.453,89.6866666666667,13.453,1,1,1
"pb_str_orb_mod_k_15_d0.50_su0.01_sv0.11_large",92.9733333333333,13.946,92.9733333333333,13.946,1,1,1
